STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Maharashtra,Chandrapur,PMGSY-II,15,1,15,1,0,0,99.04,63.6278,98.053,53.3742,0
Maharashtra,Chandrapur,PMGSY-III,23,19,14,0,9,19,164.166,180.99309,126.488,82.9679,35.988
Maharashtra,Dhule,PMGSY-III,13,7,0,0,13,7,125.075,110.2362,6.5,31.9047,118.575
Maharashtra,Gadchiroli,PMGSY-I,272,50,272,45,0,5,1188.22,528.6053,1118.221,550.8124,0
Maharashtra,Gondia,PMGSY-III,31,2,25,0,6,2,186.55,148.23996,171.658,52.3069,14.196
Maharashtra,Jalgaon,PMGSY-III,29,9,2,0,27,9,196.65,191.5964,30.66,48.2628,165.83
Maharashtra,Nanded,PMGSY-III,32,6,5,0,27,6,229.88,201.60696,81.419,80.446,147.241
Maharashtra,Nashik,PMGSY-I,212,26,212,26,0,0,1221.777,350.47184,1102.245,330.6126,0
Maharashtra,Palghar,PMGSY-II,6,1,6,1,0,0,56.9,30.8962,51.91,28.4738,0
Maharashtra,Ratnagiri,PMGSY-II,14,7,14,7,0,0,85.91,50.1249,85.61,47.7912,0
Maharashtra,Sangali,PMGSY-II,15,0,15,0,0,0,75.158,36.0634,74.769,36.1581,0
Maharashtra,Satara,PMGSY-III,56,6,2,0,54,6,304.79,268.4688,9.97,44.0621,293.625
Maharashtra,Solapur,PMGSY-III,46,2,24,0,22,2,309.95,245.77878,199,174.7607,108.65
Maharashtra,Thane,PMGSY-III,17,0,3,0,14,0,87.81,57.7251,50.697,29.3755,37.013
Manipur,Bishnupur,PMGSY-II,7,0,5,0,2,0,35.57,28.9618,34.22,19.8954,1.45
Manipur,Chandel,PMGSY-II,3,0,1,0,2,0,13.68,12.0844,10,6.897,3.68
Manipur,"Imphal West",PMGSY-I,206,11,206,9,0,2,396.56,160.95803,386.22,122.9102,0
Manipur,"Imphal West",PMGSY-III,7,0,0,0,7,0,43.2,29.6641,0,0,43.2
Manipur,Senapati,PMGSY-II,4,2,3,2,1,0,22.38,22.0518,16.38,16.5409,6
Manipur,Tamenglong,PMGSY-II,2,1,0,1,2,0,20.4,19.0556,10,9.2618,10.4
Manipur,Ukhrul,PMGSY-III,5,0,0,0,5,0,53.4,42.698,0,0,53.4
Mizoram,Saiha,PMGSY-I,41,0,38,0,3,0,638.51,346.0749,629.94,327.1589,5.79
Mizoram,Serchhip,PMGSY-II,1,0,1,0,0,0,16,14.2014,15.5,11.0998,0
Nagaland,Dimapur,PMGSY-II,1,0,1,0,0,0,12.7,11.1485,12.7,11.1208,0
Nagaland,Kiphire,PMGSY-III,2,0,0,0,2,0,19.09,18.0701,0,0,19.09
Nagaland,Longleng,PMGSY-III,1,0,0,0,1,0,13.7,10.9094,0,0,13.7
Nagaland,Mokokchung,PMGSY-I,26,0,25,0,1,0,292.5,38.6968,292.5,38.7119,0
Nagaland,Peren,PMGSY-III,1,0,0,0,1,0,21.03,17.0424,0,0,21.03
Odisha,Angul,PMGSY-II,13,0,13,0,0,0,92.675,41.2075,91.715,36.8161,0
Odisha,Angul,PMGSY-III,31,2,29,2,2,0,236.845,154.8914,227.04,135.2799,2.54
Odisha,Balasore,PMGSY-III,51,3,24,1,27,2,372.201,265.25514,239.724,172.5887,134.289
Odisha,Bargarh,PMGSY-I,593,4,593,4,0,0,2056.541,714.37148,1945.182,693.789,0
Odisha,Cuttack,PMGSY-III,69,5,17,0,52,5,418.366,250.8376,244.015,130.1521,170.039
Odisha,Deogarh,PMGSY-III,14,3,14,1,0,2,90.01,62.88467,89.887,53.8367,0
Odisha,Jagatsinghpur,PMGSY-I,268,0,268,0,0,0,1047.628,452.3774,1030.216,437.243,0
Odisha,Jagatsinghpur,PMGSY-III,40,0,13,0,27,0,238.588,131.20089,172.222,80.1266,66.457
Odisha,Jajpur,PMGSY-I,448,18,448,18,0,0,1564.9,729.37584,1499.873,714.5081,0
Odisha,Jharsuguda,PMGSY-I,136,3,136,3,0,0,399.273,127.4554,392.113,119.349,0
Odisha,Jharsuguda,PMGSY-III,30,6,29,4,1,2,147.359,91.1303,142.519,77.4274,2.55
Odisha,Kandhamal,PM-JANMAN,4,0,0,0,4,0,9.2,8.202,0,0,9.2
Odisha,Keonjhar,PMGSY-III,53,4,42,3,11,1,372.085,234.1436,349.391,212.8669,13.089
Odisha,Koraput,RCPLWEA,19,2,18,0,1,2,146.768,140.64949,140.469,121.3137,5.087
Odisha,Malkangiri,PMGSY-I,461,40,459,37,2,3,2109.2,872.40848,2067.074,1048.6139,8.01
Odisha,Mayurbhanj,PMGSY-III,117,14,101,11,16,3,780.786,515.18333,767.678,442.7223,3.747
Odisha,Nawarangpur,PMGSY-I,600,8,600,8,0,0,2492.194,866.7966,2429.296,852.3055,0
Odisha,Rayagada,RCPLWEA,1,0,1,0,0,0,1.8,1.29913,1.8,1.3596,0
Odisha,Sambalpur,PMGSY-III,35,10,32,0,3,10,234.127,193.9159,218.658,141.9326,8.848
Odisha,Sundargarh,PMGSY-I,988,65,988,65,0,0,3754.383,1726.76572,3645.268,1754.2738,0
Punjab,Bathinda,PMGSY-II,6,2,6,2,0,0,78.7,49.7356,77.75,37.1869,0
Punjab,Faridkot,PMGSY-I,23,0,23,0,0,0,190.581,80.2681,190.575,72.9015,0
Punjab,"Fatehgarh Sahib",PMGSY-III,3,0,2,0,1,0,31.239,19.98768,30.399,19.0243,0.84
Punjab,Firozpur,PMGSY-II,9,1,9,1,0,0,86.16,56.7187,85.89,49.0907,0
Punjab,Gurdaspur,PMGSY-II,2,0,2,0,0,0,16.18,11.3656,16.18,8.1924,0
Punjab,Hoshiarpur,PMGSY-I,50,0,50,0,0,0,517.305,192.6273,516.616,170.6915,0
Punjab,Hoshiarpur,PMGSY-III,21,0,11,0,10,0,286.665,230.9857,140.815,95.1764,145.85
Punjab,Jalandhar,PMGSY-II,2,0,2,0,0,0,20.15,13.9106,20.15,11.7305,0
Punjab,Mansa,PMGSY-I,49,0,49,0,0,0,351.07,149.1889,349.727,148.1373,0
Punjab,Mohali,PMGSY-III,4,0,3,0,1,0,31.94,25.61566,24.104,16.288,7.8
Punjab,Mukatsar,PMGSY-I,93,0,93,0,0,0,485.107,198.9607,482.632,177.2442,0
Punjab,Nawashahar,PMGSY-I,33,0,33,0,0,0,170.53,56.5777,170.53,53.6546,0
Punjab,Nawashahar,PMGSY-II,1,0,1,0,0,0,8.38,6.1408,5.7,2.8514,0
Punjab,Sangrur,PMGSY-III,35,7,18,5,17,2,341.649,320.89129,192.325,157.8937,148.474
Punjab,"Tarn Taran",PMGSY-I,72,0,72,0,0,0,445.69,174.2062,445.19,162.7579,0
Rajasthan,Ajmer,PMGSY-II,5,0,5,0,0,0,56,20.0549,56,13.6636,0
Rajasthan,Balotra,PMGSY-II,6,2,6,2,0,0,57.24,22.06748,58.74,15.9068,0
Rajasthan,Baran,PMGSY-II,11,0,11,0,0,0,99.745,45.27195,99.799,40.3299,0
Rajasthan,Barmer,PMGSY-III,21,3,21,3,0,0,227.905,131.38639,227.005,96.4449,0
Rajasthan,Beawar,PMGSY-III,16,0,13,0,3,0,160.4,82.10855,160.4,46.206,0
Rajasthan,Bharatpur,PMGSY-II,7,0,7,0,0,0,69.2,39.93924,69.2,30.9691,0
Rajasthan,Bharatpur,PMGSY-III,14,0,13,0,1,0,112.122,75.16447,106.142,59.5019,5.8
Rajasthan,Bhilwara,PMGSY-III,17,0,17,0,0,0,137.633,80.63282,137.16,63.987,0
Rajasthan,Bikaner,PMGSY-III,25,0,22,0,3,0,263.86,114.39179,239.2,83.6166,24.01
Rajasthan,Bundi,PMGSY-II,12,0,12,0,0,0,69.3,31.77,69.3,24.6884,0
Rajasthan,Dausa,PMGSY-I,425,0,425,0,0,0,1277.855,274.8729,1247.286,233.8484,0
Rajasthan,Dungarpur,PMGSY-I,1001,0,1001,0,0,0,2820.22,766.6567,2691.941,661.5755,0
Rajasthan,Gangapurcity,PMGSY-II,9,1,9,1,0,0,58.2,19.9735,58,16.0457,0
Rajasthan,Hanumangarh,PMGSY-I,134,0,134,0,0,0,903.16,196.4427,867.987,167.7036,0
Rajasthan,Jhalawar,PMGSY-I,381,0,381,0,0,0,1489.68,338.9605,1438.64,304.427,0
Rajasthan,Jhunjhunun,PMGSY-I,371,0,371,0,0,0,1267.905,287.9869,1229.424,252.934,0
Rajasthan,Karauli,PMGSY-I,209,0,209,0,0,0,707.265,144.9245,630.365,120.6446,0
Rajasthan,Karauli,PMGSY-II,6,0,6,0,0,0,40.75,13.1662,40.75,9.5125,0
Rajasthan,Karauli,PMGSY-III,9,0,9,0,0,0,80.08,48.2326,77.04,37.9687,0
Rajasthan,Kekri,PMGSY-II,3,0,3,0,0,0,28.564,10.1989,28.564,9.7062,0
Rajasthan,"Kotputli Behror",PMGSY-I,235,0,235,0,0,0,664.85,153.6479,646.386,135.4385,0
Rajasthan,Phalodi,PMGSY-I,330,0,330,0,0,0,1857.66,306.5964,1805.51,274.1923,0
Rajasthan,Phalodi,PMGSY-III,10,0,10,0,0,0,107.5,63.368,107.5,48.6716,0
Rajasthan,Rajsamand,PMGSY-III,23,0,18,0,5,0,245.15,182.49343,221.25,111.1235,23.9
Rajasthan,Sawaimadhopur,PMGSY-II,6,0,6,0,0,0,41.851,16.9027,41.651,13.6732,0
Rajasthan,Shahpura,PMGSY-I,274,0,274,0,0,0,1021.57,190.7677,980.325,174.3442,0
Rajasthan,Shahpura,PMGSY-II,8,0,8,0,0,0,69.725,30.42843,69.725,26.1442,0
Rajasthan,Sirohi,PMGSY-III,11,4,11,4,0,0,102.49,96.79097,100.49,74.0625,0
Rajasthan,"Sri Ganganagar",PMGSY-I,87,1,87,1,0,0,558.7,126.8969,539.2,107.3187,0
Rajasthan,Udaipur,PMGSY-III,43,3,38,0,5,3,417.425,281.96821,408.865,184.1384,7
Sikkim,Soreng,PMGSY-I,171,10,165,8,6,2,753.756,359.6555,733.564,352.6722,10.875
"Tamil Nadu",Ariyalur,PMGSY-III,12,0,10,0,2,0,47.521,20.2326,39.923,15.0051,7.6
"Tamil Nadu",Coimbatore,PMGSY-III,27,0,25,0,2,0,97.925,51.44381,89.74,46.4398,7.99
"Tamil Nadu",Krishnagiri,PMGSY-II,40,2,40,2,0,0,118.23,56.26929,118.23,59.1974,0
"Tamil Nadu",Madurai,PMGSY-I,280,0,280,0,0,0,511.653,124.11849,512.083,36.0835,0
"Tamil Nadu",Mayiladuthurai,PMGSY-II,27,1,27,1,0,0,74.724,63.01125,74.724,69.2189,0
"Tamil Nadu",Perambalur,PMGSY-II,12,0,12,0,0,0,43.84,15.9089,43.84,15.3482,0
"Tamil Nadu",Ranipet,PMGSY-I,92,2,92,2,0,0,213.068,55.05758,202.832,174.1827,0
"Tamil Nadu",Ranipet,PMGSY-III,7,0,7,0,0,0,18.032,9.47379,18.03,9.2599,0
"Tamil Nadu",Tenkasi,PMGSY-III,16,0,8,0,8,0,64.615,30.9733,34.69,15.2865,29.925
"Tamil Nadu","The Nilgiris",PMGSY-III,17,0,2,0,15,0,68.005,70.5887,8.3,10.8567,59.705
"Tamil Nadu",Tiruchirappalli,PMGSY-II,20,0,20,0,0,0,85.865,29.46129,85.865,23.7441,0
"Tamil Nadu",Tirupathur,PMGSY-II,4,0,4,0,0,0,7.024,3.312,7.024,3.8691,0
"Tamil Nadu",Tiruvannamalai,PMGSY-II,27,0,27,0,0,0,97.4,33.20386,97.4,31.5563,0
"Tamil Nadu",Virudhunagar,PMGSY-I,204,1,204,1,0,0,435.383,115.97783,432.471,107.1353,0
Telangana,"Bhadradri Kothagudem",RCPLWEA,30,38,5,15,25,23,239.41,331.14342,103.89,118.3253,134.77
Telangana,"Bhadradri Kothagudem",PMGSY-III,13,9,9,5,4,4,94.782,87.07731,76.014,49.321,18.12
Telangana,"Jayashankar Bhoopalapally",PMGSY-I,53,7,53,7,0,0,190.555,56.47182,190.805,71.8479,0
Telangana,"Jayashankar Bhoopalapally",RCPLWEA,11,4,2,2,9,2,78.7,94.07464,34.277,51.4233,44.043
Telangana,"Jogulamba Gadwal",PMGSY-I,25,1,25,1,0,0,151.925,31.8538,146.475,60.6567,0
Telangana,Kamareddy,PMGSY-I,162,8,162,8,0,0,417.72,78.3256,415.72,14.6649,0
Telangana,Karimnagar,PMGSY-III,11,1,0,0,11,1,56.933,30.88998,5.033,7.8384,51.9
Telangana,"Komrambheem Asifabad",RCPLWEA,31,33,3,8,28,25,262.66,407.15149,113.499,127.0604,149.016
Telangana,Mahaboobnagar,PMGSY-III,11,9,4,6,7,3,69.748,70.60881,40.246,41.667,28.421
Telangana,Mahabubabad,PMGSY-II,4,0,4,0,0,0,24.805,12.7995,24.35,11.496,0
Telangana,Medak,PMGSY-I,99,6,99,5,0,1,314.96,60.9081,311.917,110.1285,0
Telangana,"Medchal Malkajgiri",PMGSY-I,15,0,15,0,0,0,24.04,2.5764,24.04,5.6566,0
Telangana,"Medchal Malkajgiri",PMGSY-III,3,0,2,0,1,0,19,12.84368,12.227,5.844,5.9
Telangana,Nagarkurnool,PMGSY-III,11,4,9,0,2,4,70.486,51.73822,65.379,34.8401,3.125
Telangana,Nalgonda,PMGSY-III,20,6,5,1,15,5,134.721,93.76009,41.545,32.1691,92.476
Telangana,Nirmal,PMGSY-II,1,0,1,0,0,0,9.4,2.42,4.71,2.3232,0
Telangana,Nizamabad,PMGSY-II,6,4,6,4,0,0,60.15,49.2662,61.01,46.307,0
Telangana,Nizamabad,PMGSY-III,15,4,9,0,6,4,104.393,66.5664,72.106,41.7825,30.991
Telangana,Peddapalli,PMGSY-III,9,2,3,0,6,2,48.181,31.19386,35.703,21.1277,11.221
Telangana,Sangareddy,PMGSY-II,5,0,5,0,0,0,35.75,22.3813,34.782,18.0143,0
Telangana,Suryapet,PMGSY-I,92,0,92,0,0,0,404.38,82.0688,394.4,164.8189,0
Telangana,Vikarabad,PMGSY-II,3,0,3,0,0,0,27.65,16.1464,27.65,14.4262,0
Tripura,Khowai,PMGSY-II,6,0,5,0,1,0,24.681,25.23502,23.961,25.282,0.578
Tripura,Khowai,PMGSY-III,13,2,0,0,13,2,92.749,92.56916,1.5,15.7207,91.249
Tripura,Sepahijala,PMGSY-I,207,4,207,4,0,0,648.341,388.9445,614.046,404.3257,0
Tripura,Unakoti,PMGSY-III,6,0,0,0,6,0,41.55,37.37701,0,0,41.55
Tripura,"West Tripura",PMGSY-III,13,0,0,0,13,0,91.965,90.85092,0,20.8735,91.965
"Uttar Pradesh",Ambedkarnagar,PMGSY-III,27,0,25,0,2,0,181.33,132.15772,173.933,101.5487,3
"Uttar Pradesh",Auraiya,PMGSY-I,140,0,140,0,0,0,378.67,105.0773,369.13,96.9338,0
"Uttar Pradesh",Auraiya,PMGSY-II,7,0,7,0,0,0,58.75,36.4278,58.365,28.0419,0
"Uttar Pradesh",Auraiya,PMGSY-III,10,0,8,0,2,0,62.285,47.9342,53.73,30.4249,8.735
"Uttar Pradesh",Azamgarh,PMGSY-III,81,0,46,0,35,0,561.83,449.77695,345.298,198.7438,209.602
"Uttar Pradesh",Balrampur,PMGSY-II,16,0,16,0,0,0,109.975,74.6984,108.375,67.6892,0
"Uttar Pradesh",Banda,PMGSY-II,12,0,12,0,0,0,97.62,56.1237,96.65,52.8161,0
"Uttar Pradesh",Banda,PMGSY-III,21,0,11,0,10,0,163.367,136.6557,112.423,100.6576,50.88
"Uttar Pradesh",Bareilly,PMGSY-II,9,0,9,0,0,0,85.25,41.12541,83.25,40.6372,0
"Uttar Pradesh",Bareilly,PMGSY-III,51,0,47,0,4,0,427.39,266.64227,418.915,212.6673,7.05
"Uttar Pradesh",Bijnor,PMGSY-III,19,0,19,0,0,0,135.038,90.1265,135.038,74.9555,0
"Uttar Pradesh",Chitrakoot,PMGSY-I,108,0,108,0,0,0,410.745,120.0661,403.403,126.7396,0
"Uttar Pradesh",Chitrakoot,PMGSY-III,13,0,9,0,4,0,93.988,82.54023,66.725,46.9326,27.213
"Uttar Pradesh",Deoria,PMGSY-II,14,0,14,0,0,0,95.115,60.33697,94.88,54.375,0
"Uttar Pradesh",Etah,PMGSY-II,14,0,14,0,0,0,105.27,59.27319,105.27,48.2012,0
"Uttar Pradesh",Farrukhabad,PMGSY-II,10,0,10,0,0,0,91.3,55.02389,90.594,49.8256,0
"Uttar Pradesh",Farrukhabad,PMGSY-III,23,0,21,0,2,0,186.745,149.74739,186.395,107.4084,0.35
"Uttar Pradesh",Fatehpur,PMGSY-II,11,0,11,0,0,0,101.975,86.3941,101.465,78.3542,0
"Uttar Pradesh","G.B. Nagar",PMGSY-II,9,0,9,0,0,0,100.15,65.4942,94.903,50.3961,0
"Uttar Pradesh",Hamirpur,PMGSY-I,106,0,106,0,0,0,392.265,106.43,380.93,95.8403,0
"Uttar Pradesh",Hardoi,PMGSY-I,415,0,415,0,0,0,1190.986,359.2984,1180.089,329.0393,0
"Uttar Pradesh",J.B.F.Nagar,PMGSY-I,187,0,187,0,0,0,512.96,120.0831,505.117,112.9559,0
"Uttar Pradesh",Jaunpur,PMGSY-I,271,0,271,0,0,0,717.962,179.1209,713.434,163.0094,0
"Uttar Pradesh",Jaunpur,PMGSY-II,13,0,13,0,0,0,100.77,47.16149,96.605,40.6712,0
"Uttar Pradesh",Jhansi,PMGSY-III,30,0,24,0,6,0,231.45,188.97608,169.106,102.3849,56.2
"Uttar Pradesh",Kannauj,PMGSY-I,216,0,216,0,0,0,523.625,148.1651,513.177,146.1985,0
"Uttar Pradesh","Kanpur Nagar",PMGSY-I,272,0,272,0,0,0,574.447,128.8868,570.636,124.1542,0
"Uttar Pradesh",Kasganj,PMGSY-III,12,0,12,0,0,0,90.35,55.0185,87.7,40.1307,0
"Uttar Pradesh",Kaushambi,PMGSY-I,119,0,119,0,0,0,377.975,108.3417,374.955,103.5433,0
"Uttar Pradesh",Kushinagar,PMGSY-III,63,0,54,0,9,0,420.655,338.88378,365.652,238.3195,52.8
"Uttar Pradesh",Lakhimpur-Kherii,PMGSY-II,13,0,13,0,0,0,93.825,59.505,92.27,52.1188,0
"Uttar Pradesh",Lakhimpur-Kherii,PMGSY-III,40,0,35,0,5,0,385.833,327.10152,350.817,261.5814,30.358
"Uttar Pradesh",Lalitpur,PMGSY-I,139,0,139,0,0,0,603.97,176.035,603.114,181.2625,0
"Uttar Pradesh",Mahoba,PMGSY-II,11,0,11,0,0,0,99.5,52.5926,99.5,48.3865,0
"Uttar Pradesh",Mainpuri,PMGSY-I,243,0,242,0,1,0,480.101,104.4497,474.093,89.4605,1
"Uttar Pradesh",Meerut,PMGSY-III,23,0,22,0,1,0,203.857,111.6808,195.207,88.0144,3.8
"Uttar Pradesh",Moradabad,PMGSY-II,13,0,13,0,0,0,98.259,48.21445,95.169,43.8036,0
"Uttar Pradesh",Moradabad,PMGSY-III,24,0,24,0,0,0,147.805,89.64673,143.842,69.3169,0
"Uttar Pradesh",Pilibhit,PMGSY-I,201,0,201,0,0,0,652.975,146.95,640.109,144.1701,0
"Uttar Pradesh",Prayagraj,PMGSY-II,16,0,16,0,0,0,116.4,87.32012,116.38,76.9368,0
"Uttar Pradesh",Prayagraj,PMGSY-III,66,0,50,0,16,0,478.542,436.48762,375.076,291.4538,100.01
"Uttar Pradesh","Rae Bareli",PMGSY-I,259,0,259,0,0,0,860.477,259.3289,842.455,258.1429,0
"Uttar Pradesh","S.K. Nagar",PMGSY-I,236,0,236,0,0,0,598.98,162.2786,584.136,148.8684,0
"Uttar Pradesh",Shahjahanpur,PMGSY-II,13,0,13,0,0,0,109.6,68.09171,106.005,60.8477,0
"Uttar Pradesh",Siddharathnagar,PMGSY-II,17,0,17,0,0,0,110.4,74.0974,110.3,63.3838,0
"Uttar Pradesh",Sitapur,PMGSY-II,11,0,11,0,0,0,92.775,77.9234,90.918,66.0692,0
"Uttar Pradesh",Sultanpur,PMGSY-III,40,0,30,0,10,0,261.285,209.16106,213.303,130.0617,47.37
"Uttar Pradesh",Varanasi,PMGSY-III,16,0,16,0,0,0,94.4,34.6486,92.484,27.7564,0
Uttarakhand,Almora,PMGSY-III,20,0,0,0,20,0,238.672,169.98509,9.4,13.2481,229.272
Uttarakhand,Bageshwar,PMGSY-II,9,0,9,0,0,0,52.125,31.849,52.125,30.9384,0
Uttarakhand,Champawat,PMGSY-I,130,13,124,12,6,1,1170.72,546.743,1136.975,510.7768,22.875
Uttarakhand,Nainital,PMGSY-I,135,26,133,23,2,3,1136.293,518.7988,1120.564,478.1464,14.455
Uttarakhand,Pithoragarh,PMGSY-II,13,0,13,0,0,0,89.6,59.7582,87.55,56.3791,0
Uttarakhand,Tehri,PMGSY-I,258,16,255,12,3,4,2097.752,1030.97501,2073.38,994.011,1.985
Uttarakhand,Tehri,PMGSY-II,13,1,13,0,0,1,120.233,84.8196,119.808,81.5659,0
Uttarakhand,"Udham Singh Nagar",PMGSY-I,34,0,34,0,0,0,87.36,27.5101,87.01,28.6638,0
Uttarakhand,"Udham Singh Nagar",PMGSY-II,3,0,3,0,0,0,18,5.6079,17.605,5.2931,0
"West Bengal",Bankura,PMGSY-II,11,3,11,3,0,0,162.64,159.45727,163.694,124.7358,0
"West Bengal",Birbhum,PMGSY-I,344,2,344,2,0,0,2244.611,895.89926,2221.185,824.4759,0
"West Bengal",Hooghly,PMGSY-I,342,0,342,0,0,0,1464.638,670.87733,1451.536,620.4719,0
"West Bengal",Jhargram,PMGSY-III,1,0,0,0,1,0,8.169,7.4374,5,4.9653,3.169
"West Bengal",Maldah,PMGSY-III,16,0,5,0,11,0,102.996,68.70163,61.018,36.1169,41.916
"West Bengal","Paschim Medinipur",PMGSY-I,732,0,732,0,0,0,3686.237,2004.87157,3666.523,1915.3207,0
"West Bengal","Paschim Medinipur",PMGSY-II,19,4,19,4,0,0,169.63,165.81221,169.39,133.7978,0
"West Bengal","Purba Burdwan",PMGSY-III,4,0,1,0,3,0,20.98,15.01912,12.5,9.3591,8.48
"West Bengal","Purba Medinipur",PMGSY-II,11,2,11,2,0,0,101.85,82.46289,101.408,77.8186,0
"West Bengal",Purulia,PMGSY-II,18,0,18,0,0,0,143.66,112.21407,142.905,82.0457,0
"West Bengal","Siliguri M.P.",PMGSY-III,2,0,0,0,2,0,9.616,6.82129,3,2.9246,6.616
"West Bengal","South 24-Parganas",PMGSY-I,312,0,311,0,1,0,1603.63,838.973,1559.633,802.8216,1.2
"Andaman And Nicobar","North and Middle Andaman",PMGSY-I,32,0,32,0,0,0,60.169,24.6908,59.19,18.8191,0
"Andaman And Nicobar","South Andaman",PMGSY-I,32,0,31,0,1,0,40.146,18.5375,39.287,11.6894,0.541
"Andhra Pradesh",Anakapalli,PMGSY-I,195,8,195,8,0,0,483.715,158.0745,465.672,140.341,0
"Andhra Pradesh",Chittoor,PMGSY-I,148,3,148,3,0,0,482.261,101.8512,471.991,100.7436,0
"Andhra Pradesh",Chittoor,PMGSY-III,37,2,33,0,4,2,276.248,172.5041,228.924,104.229,40.24
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-II,6,0,6,0,0,0,47.223,24.736,45.354,20.979,0
"Andhra Pradesh",Eluru,PMGSY-III,12,2,7,0,5,2,75.097,48.8486,46.007,24.8769,26.81
"Andhra Pradesh",Kakinada,RCPLWEA,3,0,3,0,0,0,19.47,12.19,19.47,10.7893,0
"Andhra Pradesh",Krishna,PMGSY-I,159,5,159,5,0,0,368.9,89.007,358.31,87.323,0
"Andhra Pradesh",Kurnool,PMGSY-II,9,1,9,1,0,0,65.66,28.5085,65.021,26.8076,0
"Andhra Pradesh",Palnadu,PMGSY-II,7,1,7,1,0,0,80.46,44.8013,79.551,42.3108,0
"Andhra Pradesh","Parvathipuram Manyam",PMGSY-II,3,0,3,0,0,0,24.49,14.53,23.08,12.0531,0
"Andhra Pradesh","Sri Sathya Sai",PMGSY-I,412,13,412,13,0,0,1306.855,311.3505,1272.137,304.013,0
"Andhra Pradesh","Sri Sathya Sai",PMGSY-III,11,3,10,0,1,3,121.535,70.68048,112.695,45.7174,4.5
"Andhra Pradesh",Srikakulam,PM-JANMAN,6,0,0,0,6,0,13.7,10.24,0,0,13.7
"Andhra Pradesh",Tirupati,PMGSY-I,137,15,137,15,0,0,344.624,86.9762,334.918,83.0694,0
"Andhra Pradesh",Tirupati,PMGSY-II,6,0,6,0,0,0,50.145,23.1713,46.946,18.9505,0
"Andhra Pradesh",Vizianagaram,PMGSY-II,11,0,11,0,0,0,80.5,40.985,79.69,34.0148,0
"Arunachal Pradesh",Changlang,PMGSY-II,1,0,1,0,0,0,3.7,3.5192,3.7,3.4336,0
"Arunachal Pradesh","Dibang Valley",PMGSY-I,16,0,12,0,4,0,201.68,203.992,183.68,156.3108,18
"Arunachal Pradesh","East Kameng",PMGSY-I,113,16,98,15,15,1,1903.87,1286.0398,1749.01,1218.1876,147.31
"Arunachal Pradesh","East Siang",PMGSY-I,23,1,23,1,0,0,51.925,25.3767,51.925,24.9895,0
"Arunachal Pradesh","East Siang",PMGSY-III,6,2,0,0,6,2,38.1,31.727,0,8.5589,38.1
"Arunachal Pradesh","Kurung Kumey",PMGSY-II,2,0,1,0,1,0,62,50.62418,38,39.9284,24
"Arunachal Pradesh","Lower Subansiri",PMGSY-II,5,0,5,0,0,0,28.14,30.5272,28.14,30.1846,0
"Arunachal Pradesh",Namsai,PMGSY-III,10,2,0,0,10,2,64.22,40.1367,0,0.0567,64.22
"Arunachal Pradesh",Siang,PMGSY-II,2,0,2,0,0,0,28.22,22.8833,28.22,21.6507,0
"Arunachal Pradesh",Tawang,PMGSY-I,59,5,59,5,0,0,608.374,454.0604,602.472,481.8618,0
"Arunachal Pradesh",Tawang,PMGSY-III,6,0,0,0,6,0,37.62,37.9503,0,0,37.62
"Arunachal Pradesh",Tirap,PMGSY-I,91,5,90,5,1,0,577.61,303.2083,572.34,300.7428,2.75
Assam,Baksa,PMGSY-II,8,4,8,4,0,0,55.431,41.1995,55.431,43.2605,0
Assam,Bongaigaon,PMGSY-III,10,0,4,0,6,0,64.54,37.19961,52.22,22.0735,12.32
Assam,Cachar,PMGSY-III,35,5,25,1,10,4,185.869,137.10955,154.973,105.5353,30.87
Assam,Dhemaji,PMGSY-I,280,126,280,126,0,0,1141.823,1150.57087,1142.147,1168.8853,0
Assam,Dibrugarh,PMGSY-III,29,3,22,2,7,1,188.897,107.55336,155.88,83.7889,30.657
Assam,Hailakandi,PMGSY-III,19,0,11,0,8,0,131.043,75.45408,86.168,45.2234,44.871
Assam,"Karbi Anglong",PMGSY-III,19,3,3,0,16,3,113.387,66.53463,30.5,23.9544,82.887
Assam,Karimganj,PMGSY-I,266,53,266,53,0,0,881.413,658.02889,876.615,750.822,0
Assam,Karimganj,PMGSY-III,23,0,12,0,11,0,145.542,111.22492,110.407,81.3152,35.06
Assam,Lakhimpur,PMGSY-I,295,112,295,112,0,0,1122.903,1000.43112,1116.529,1038.759,0
Assam,Morigaon,PMGSY-I,260,14,260,14,0,0,799.111,549.8745,797.745,575.0967,0
Assam,Morigaon,PMGSY-II,11,5,8,3,3,2,81.95,66.3186,81.75,74.5014,0.15
Assam,Nalbari,PMGSY-I,207,21,207,21,0,0,535.042,290.16332,535.456,302.7266,0
